category,businesses,food_businesses,food_share,is_food_related
Restaurants,52268,52268,1.000000,1
Food,27781,27781,1.000000,1
Shopping,24395,3350,0.137323,0
Home Services,14356,124,0.008638,0
Beauty & Spas,14292,507,0.035474,0
Nightlife,12281,9325,0.759303,0
Health & Medical,11890,637,0.053574,0
Local Services,11198,194,0.017325,0
Bars,11065,8872,0.801808,1
Automotive,10773,704,0.065349,0
Event Planning & Services,9895,3602,0.364022,0
Sandwiches,8366,8366,1.000000,1
American (Traditional),8139,8139,1.000000,1
Active Life,7687,425,0.055288,0
Pizza,7093,7093,1.000000,1
Coffee & Tea,6703,6703,1.000000,1
Fast Food,6472,6472,1.000000,1
Breakfast & Brunch,6239,6239,1.000000,1
American (New),6097,6097,1.000000,1
Hotels & Travel,5857,559,0.095441,0
Home & Garden,5799,362,0.062425,0
Fashion,5739,598,0.104199,0
Burgers,5636,5636,1.000000,1
Arts & Entertainment,5434,1559,0.286897,0
Auto Repair,5433,19,0.003497,0
Hair Salons,5046,24,0.004756,0
Nail Salons,4621,14,0.003030,0
Mexican,4600,4600,1.000000,1
Italian,4573,4573,1.000000,1
Specialty Food,4233,4233,1.000000,1
Doctors,3763,27,0.007175,0
Pets,3758,55,0.014635,0
Real Estate,3577,32,0.008946,0
Seafood,3539,3539,1.000000,1
Fitness & Instruction,3293,74,0.022472,0
Professional Services,3270,82,0.025076,0
Hair Removal,3239,5,0.001544,0
Desserts,3186,3186,1.000000,1
Chinese,3169,3169,1.000000,1
Bakeries,3150,3150,1.000000,1
Grocery,3139,3139,1.000000,1
Salad,3064,3064,1.000000,1
Hotels,2977,301,0.101108,0
Chicken Wings,2966,2966,1.000000,1
Cafes,2756,2756,1.000000,1
Ice Cream & Frozen Yogurt,2657,2657,1.000000,1
Caterers,2645,2336,0.883176,1
Pet Services,2626,21,0.007997,0
Dentists,2528,2,0.000791,0
Skin Care,2498,25,0.010008,0
Venues & Event Spaces,2480,903,0.364113,0
Tires,2471,55,0.022258,0
Beer,2413,2413,1.000000,1
Wine & Spirits,2413,2413,1.000000,1
Delis,2393,2393,1.000000,1
Oil Change Stations,2356,7,0.002971,0
Waxing,2333,3,0.001286,0
Contractors,2327,14,0.006016,0
Women's Clothing,2184,31,0.014194,0
Massage,2134,33,0.015464,0
Sports Bars,2110,1818,0.861611,1
Day Spas,1997,38,0.019029,0
General Dentistry,1993,1,0.000502,0
Education,1936,130,0.067149,0
Flowers & Gifts,1930,450,0.233161,0
Auto Parts & Supplies,1926,7,0.003634,0
Apartments,1921,5,0.002603,0
Convenience Stores,1919,1919,1.000000,1
Home Decor,1892,77,0.040698,0
Gyms,1831,22,0.012015,0
Japanese,1830,1830,1.000000,1
Pubs,1821,1503,0.825371,1
Cocktail Bars,1718,1476,0.859139,1
Sushi Bars,1717,1717,1.000000,1
Barbeque,1694,1694,1.000000,1
Juice Bars & Smoothies,1684,1684,1.000000,1
Barbers,1677,11,0.006559,0
Car Dealers,1665,6,0.003604,0
Sporting Goods,1662,53,0.031889,0
Accessories,1639,37,0.022575,0
Cosmetic Dentists,1630,0,0.000000,0
Drugstores,1630,1382,0.847853,0
Local Flavor,1604,703,0.438279,0
Furniture Stores,1597,141,0.088291,0
Pet Groomers,1549,7,0.004519,0
Asian Fusion,1547,1547,1.000000,1
Cosmetics & Beauty Supply,1544,396,0.256477,0
Jewelry,1525,30,0.019672,0
Steakhouses,1506,1506,1.000000,1
Diners,1494,1494,1.000000,1
Financial Services,1487,13,0.008742,0
Trainers,1460,13,0.008904,0
Hair Stylists,1459,3,0.002056,0
Arts & Crafts,1440,119,0.082639,0
Department Stores,1430,499,0.348951,0
Electronics,1422,314,0.220816,0
Veterinarians,1383,2,0.001446,0
Massage Therapy,1357,21,0.015475,0
Pet Sitting,1356,4,0.002950,0
Eyelash Service,1278,1,0.000782,0
Food Trucks,1273,1273,1.000000,1
Men's Clothing,1273,13,0.010212,0
Mediterranean,1263,1263,1.000000,1
Body Shops,1229,7,0.005696,0
Public Services & Government,1216,46,0.037829,0
Heating & Air Conditioning/HVAC,1199,5,0.004170,0
Lounges,1194,747,0.625628,0
Wine Bars,1192,1085,0.910235,1
IT Services & Computer Repair,1189,6,0.005046,0
Vegetarian,1158,1158,1.000000,1
Laundry Services,1149,3,0.002611,0
Medical Centers,1131,14,0.012378,0
Optometrists,1112,8,0.007194,0
Plumbing,1111,9,0.008101,0
Music Venues,1104,565,0.511775,0
Donuts,1097,1097,1.000000,1
Dry Cleaning & Laundry,1075,5,0.004651,0
Party & Event Planning,1073,265,0.246971,0
Gas Stations,1063,613,0.576670,0
Soup,1061,1061,1.000000,1
Food Delivery Services,1050,1050,1.000000,1
Pet Stores,1043,26,0.024928,0
Tacos,1020,1020,1.000000,1
Shoe Stores,1018,5,0.004912,0
Eyewear & Opticians,1016,26,0.025591,0
Southern,988,988,1.000000,1
Parks,984,25,0.025407,0
Books,975,78,0.080000,0
Mags,975,78,0.080000,0
Music & Video,975,78,0.080000,0
Makeup Artists,973,1,0.001028,0
Thai,971,971,1.000000,1
Car Wash,960,28,0.029167,0
Florists,955,230,0.240838,0
Building Supplies,954,9,0.009434,0
Mobile Phones,952,124,0.130252,0
Movers,948,6,0.006329,0
Yoga,938,28,0.029851,0
Specialty Schools,932,52,0.055794,0
Cajun/Creole,923,923,1.000000,1
Tex-Mex,919,919,1.000000,1
Auto Detailing,906,9,0.009934,0
Landscaping,896,7,0.007812,0
Nurseries & Gardening,892,62,0.069507,0
Appliances,872,32,0.036697,0
Beer Bar,870,781,0.897701,1
Discount Store,868,367,0.422811,0
Breweries,863,863,1.000000,1
Transportation,858,28,0.032634,0
Vegan,856,856,1.000000,1
Vietnamese,852,852,1.000000,1
Home Cleaning,850,4,0.004706,0
Sewing & Alterations,842,0,0.000000,0
Tours,842,156,0.185273,0
Indian,838,838,1.000000,1
Men's Hair Salons,828,1,0.001208,0
Latin American,810,810,1.000000,1
Chicken Shop,808,808,1.000000,1
Appliances & Repair,800,7,0.008750,0
Real Estate Services,800,1,0.001250,0
Gift Shops,796,208,0.261307,0
Self Storage,795,5,0.006289,0
Hardware Stores,792,4,0.005051,0
Shipping Centers,792,4,0.005051,0
Printing Services,790,4,0.005063,0
Art Galleries,786,78,0.099237,0
Medical Spas,781,9,0.011524,0
Greek,779,779,1.000000,1
Gluten-Free,777,777,1.000000,1
Hot Dogs,774,774,1.000000,1
Kitchen & Bath,763,56,0.073394,0
Property Management,759,3,0.003953,0
Used,753,17,0.022576,0
Vintage & Consignment,753,17,0.022576,0
Oral Surgeons,752,1,0.001330,0
Banks & Credit Unions,749,6,0.008011,0
Comfort Food,746,746,1.000000,1
Bagels,738,738,1.000000,1
Auto Glass Services,727,4,0.005502,0
Chiropractors,726,8,0.011019,0
Wedding Planning,709,107,0.150917,0
Endodontists,706,0,0.000000,0
Towing,692,2,0.002890,0
Tobacco Shops,691,135,0.195369,0
Car Rental,670,2,0.002985,0
Tanning,667,4,0.005997,0
Orthodontists,660,0,0.000000,0
Ethnic Food,658,658,1.000000,1
Transmission Repair,639,2,0.003130,0
Antiques,638,18,0.028213,0
Dive Bars,636,296,0.465409,0
Mattresses,630,4,0.006349,0
Hair Extensions,624,1,0.001603,0
Buffets,622,622,1.000000,1
Flooring,621,0,0.000000,0
Cheesesteaks,614,614,1.000000,1
Thrift Stores,610,12,0.019672,0
Tattoo,609,4,0.006568,0
Health Markets,601,601,1.000000,1
Caribbean,590,590,1.000000,1
Middle Eastern,588,588,1.000000,1
Performing Arts,581,47,0.080895,0
Sports Wear,574,7,0.012195,0
Real Estate Agents,565,3,0.005310,0
Pet Training,561,3,0.005348,0
Physical Therapy,561,3,0.005348,0
Tree Services,561,5,0.008913,0
Water Heater Installation/Repair,557,2,0.003591,0
Bridal,555,8,0.014414,0
Hobby Shops,552,31,0.056159,0
Meat Shops,552,552,1.000000,1
Urgent Care,541,14,0.025878,0
Soul Food,539,539,1.000000,1
Fruits & Veggies,532,532,1.000000,1
Pediatric Dentists,528,0,0.000000,0
Carpet Cleaning,526,2,0.003802,0
Mobile Phone Repair,525,3,0.005714,0
Toy Stores,518,29,0.055985,0
Notaries,516,4,0.007752,0
Gastropubs,513,513,1.000000,1
Interior Design,509,6,0.011788,0
Photographers,507,9,0.017751,0
Community Service/Non-Profit,503,42,0.083499,0
Electronics Repair,503,2,0.003976,0
Family Practice,503,2,0.003976,0
French,503,503,1.000000,1
Pest Control,503,5,0.009940,0
Pharmacy,503,413,0.821074,0
Farmers Market,498,498,1.000000,1
Korean,497,497,1.000000,1
Golf,494,91,0.184211,0
Electricians,489,1,0.002045,0
Bubble Tea,477,477,1.000000,1
Vape Shops,469,37,0.078891,0
Mobile Phone Accessories,468,0,0.000000,0
Roofing,468,1,0.002137,0
Diagnostic Services,467,3,0.006424,0
Photography Stores & Services,466,318,0.682403,0
Periodontists,464,0,0.000000,0
Bikes,463,15,0.032397,0
Blow Dry/Out Services,456,1,0.002193,0
Eyebrow Services,454,2,0.004405,0
Dance Clubs,447,148,0.331096,0
Windows Installation,447,0,0.000000,0
Painters,446,2,0.004484,0
Children's Clothing,445,5,0.011236,0
Festivals,442,89,0.201357,0
Weight Loss Centers,441,28,0.063492,0
Tapas/Small Plates,440,440,1.000000,1
Nutritionists,439,80,0.182232,0
Used Car Dealers,436,1,0.002294,0
Pet Boarding,425,1,0.002353,0
Acupuncture,424,12,0.028302,0
Food Stands,423,423,1.000000,1
Cupcakes,422,422,1.000000,1
Ophthalmologists,421,0,0.000000,0
Bookstores,416,41,0.098558,0
Child Care & Day Care,416,3,0.007212,0
Museums,413,26,0.062954,0
Reflexology,411,6,0.014599,0
Insurance,403,0,0.000000,0
Junk Removal & Hauling,401,3,0.007481,0
Telecommunications,397,0,0.000000,0
Hospitals,395,4,0.010127,0
Laser Hair Removal,394,0,0.000000,0
Dry Cleaning,382,1,0.002618,0
Noodles,382,382,1.000000,1
Arcades,378,133,0.351852,0
Permanent Makeup,377,0,0.000000,0
Office Cleaning,373,2,0.005362,0
Outdoor Gear,369,8,0.021680,0
Piercing,368,2,0.005435,0
Cosmetic Surgeons,367,2,0.005450,0
Kids Activities,367,55,0.149864,0
Lawyers,363,3,0.008264,0
Masonry/Concrete,363,0,0.000000,0
Mortgage Brokers,363,0,0.000000,0
Halal,362,362,1.000000,1
Cinema,359,32,0.089136,0
Session Photography,357,1,0.002801,0
Street Vendors,357,357,1.000000,1
Candy Stores,356,356,1.000000,1
Handyman,356,0,0.000000,0
Internet Service Providers,356,2,0.005618,0
Damage Restoration,353,2,0.005666,0
Windshield Installation & Repair,352,1,0.002841,0
Jewelry Repair,347,1,0.002882,0
Preschools,344,4,0.011628,0
Wineries,342,342,1.000000,1
Chocolatiers & Shops,339,339,1.000000,1
Computers,339,5,0.014749,0
Mailbox Centers,339,3,0.008850,0
Boot Camps,337,1,0.002967,0
Seafood Markets,337,337,1.000000,1
Dermatologists,336,1,0.002976,0
Lighting Fixtures & Equipment,336,1,0.002976,0
Spray Tanning,332,2,0.006024,0
Watches,329,2,0.006079,0
Airport Shuttles,328,5,0.015244,0
Post Offices,327,2,0.006116,0
Event Photography,325,0,0.000000,0
Karaoke,325,200,0.615385,0
